Date,Open,High,Low,Close,Adj Close,Volume
2010-05-11,2850.822998,2865.478027,2808.568115,2812.891113,2812.807617,5091555200
2010-05-12,2812.989990,2849.075928,2812.989990,2847.622070,2847.537354,2765117600
2010-05-14,2847.126953,2869.486084,2843.847900,2858.385010,2858.300293,2796139000
2010-05-17,2857.989014,2857.989014,2780.394043,2819.469971,2819.386230,2602268400
2010-05-18,2820.476074,2837.564941,2818.835938,2834.186035,2834.101807,3195327600
2010-05-19,2833.690918,2833.690918,2721.725098,2729.483887,2729.402832,4788092000
2010-05-20,2730.288086,2763.881104,2660.118896,2694.249023,2694.169189,4922864000
2010-05-21,2692.665039,2692.665039,2584.968994,2623.220947,2623.143066,4166846000
2010-05-24,2623.716064,2672.862061,2600.852051,2609.610107,2609.532715,5422420000
2010-05-25,2609.016113,2609.016113,2502.053955,2514.118896,2514.044189,7161355200
2010-05-26,2514.910889,2701.991943,2514.910889,2696.780029,2696.699951,9659989600
2010-05-27,2696.284912,2732.062012,2618.282959,2713.923096,2713.842529,1004957700
2010-05-31,2714.319092,2799.452881,2714.319092,2796.957031,2796.874023,5658693600
2010-06-01,2796.659912,2796.659912,2724.111084,2724.614990,2724.534180,5500000400
2010-06-02,2725.010986,2771.281006,2721.194092,2733.677979,2733.596924,5924264000
2010-06-03,2734.173096,2811.832031,2734.173096,2810.977051,2810.893555,6336845600
2010-06-04,2810.877930,2823.864014,2791.455078,2823.250977,2823.167236,4970832000
2010-06-07,2820.875000,2820.875000,2698.281006,2750.232910,2750.151367,3966829600
2010-06-08,2750.353027,2781.351074,2750.353027,2779.982910,2779.900391,4308007200
2010-06-09,2779.784912,2794.179932,2765.347900,2785.792969,2785.710449,4099485600
2010-06-10,2786.188965,2792.523926,2758.163086,2770.787109,2770.705078,3459424000
2010-06-11,2771.479980,2817.406982,2771.479980,2801.898926,2801.815674,3075111000
2010-06-14,2802.096924,2826.957031,2802.096924,2826.836914,2826.753174,2499525600
2010-06-15,2827.034912,2850.031982,2824.383057,2830.173096,2830.089111,3722986400
2010-06-16,2830.667969,2877.854004,2830.667969,2858.658936,2858.574219,3777608400
2010-06-17,2856.368896,2897.607910,2856.368896,2891.097900,2891.011963,4958280800
2010-06-18,2891.295898,2932.063965,2891.295898,2929.589111,2929.502197,6324140000
2010-06-21,2929.985107,2981.278076,2926.077881,2941.903076,2941.815674,5483616400
2010-06-22,2940.896973,2956.810059,2921.300049,2934.589111,2934.501953,3448061600
2010-06-23,2933.895996,2933.895996,2899.266113,2924.790039,2924.703125,4591032800
2010-06-24,2924.888916,2946.543945,2908.347900,2914.094971,2914.008545,4056602000
2010-06-25,2913.798096,2949.416016,2904.392090,2947.022949,2946.935547,2518446400
2010-06-28,2947.219971,2975.895996,2945.222900,2955.731934,2955.644287,2969935000
2010-06-29,2955.831055,2960.811035,2872.416992,2893.371094,2893.285156,2743773000
2010-06-30,2892.580078,2918.062988,2844.447998,2913.684082,2913.597656,2485969000
2010-07-01,2912.881104,2912.881104,2860.912109,2874.248047,2874.162842,3861765600
2010-07-02,2874.841064,2891.185059,2861.225098,2871.553955,2871.468750,2451041600
2010-07-05,2871.948975,2885.354980,2869.074951,2877.303955,2877.218506,2256852000
2010-07-06,2877.403076,2912.083008,2864.746094,2910.647949,2910.561523,2458019600
2010-07-07,2910.528076,2913.843994,2890.285889,2902.043945,2901.958008,2054048000
2010-07-08,2902.634033,2936.259033,2902.634033,2915.907959,2915.821533,4198912000
2010-07-09,2916.201904,2943.959961,2909.666016,2943.895996,2943.808594,4285230400
2010-07-12,2942.126953,2972.562012,2940.604004,2958.791016,2958.703369,3463461600
2010-07-13,2957.792969,2978.506104,2946.407959,2961.511963,2961.424072,2767187600
2010-07-14,2961.708984,2994.586914,2961.708984,2981.059082,2980.970459,3945818400
2010-07-15,2980.061035,2987.041992,2956.888916,2980.596924,2980.508301,4525633600
2010-07-16,2980.478027,2992.449951,2972.266113,2992.449951,2992.361084,4343760000
2010-07-19,2992.155029,2992.155029,2948.029053,2975.572021,2975.483887,2914783000
2010-07-20,2975.866943,2995.440918,2970.798096,2995.440918,2995.352051,4282781600
2010-07-21,2995.736084,3014.480957,2994.211914,3013.400879,3013.311523,5062480400
2010-07-22,3013.696045,3019.011963,2997.304932,3009.923096,3009.833740,4218008000
2010-07-23,3010.314941,3051.364990,3010.314941,3042.020020,3041.929688,5115300400
2010-07-26,3042.117920,3062.952881,3014.551025,3023.698975,3023.609131,4181508400
2010-07-27,3023.992920,3061.626953,3023.992920,3041.677979,3041.587646,3811816800
2010-07-28,3041.579102,3064.789063,3041.579102,3057.475098,3057.384277,3992782000
2010-07-29,3057.967041,3097.193115,3056.670898,3096.815918,3096.723877,4565921600
2010-07-30,3096.718018,3104.079102,3054.096924,3069.280029,3069.188965,3356064000
2010-08-02,3070.278076,3083.860107,3048.585938,3058.979004,3058.888184,2961296000
